hex_id,n_tiles,mean_err,std_err,hex_area_m2,N_total_tiles,se_mean,ci_lo_mean,ci_hi_mean,total_err_est,se_total_est,ci_lo_total,ci_hi_total
80,1,0.0,,649519.053,65,,,,0.0,,,
81,3,-35.333,22.502,649519.053,65,12.991,-60.797,-9.87,-2296.667,844.444,-3951.777,-641.556
82,0,,,649519.053,65,,,,,,,
83,0,,,649519.053,65,,,,,,,
84,3,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,7,-0.286,0.756,649519.053,65,0.286,-0.846,0.274,-18.571,18.571,-54.971,17.829
87,4,-0.25,0.5,649519.053,65,0.25,-0.74,0.24,-16.25,16.25,-48.1,15.6
88,0,,,649519.053,65,,,,,,,
89,3,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,1,0.0,,649519.053,65,,,,0.0,,,
91,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,1,0.0,,649519.053,65,,,,0.0,,,
93,8,1.625,3.889,649519.053,65,1.375,-1.07,4.32,105.625,89.375,-69.55,280.8
94,2,-0.5,0.707,649519.053,65,0.5,-1.48,0.48,-32.5,32.5,-96.2,31.2
95,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,3,1.667,2.887,649519.053,65,1.667,-1.6,4.933,108.333,108.333,-104.0,320.667
97,2,-3.5,4.95,649519.053,65,3.5,-10.36,3.36,-227.5,227.5,-673.4,218.4
98,6,-32.833,37.976,649519.053,65,15.504,-63.22,-2.446,-2134.167,1007.733,-4109.323,-159.01
99,3,-32.333,26.083,649519.053,65,15.059,-61.849,-2.817,-2101.667,978.844,-4020.201,-183.132
100,1,-1.0,,649519.053,65,,,,-65.0,,,
101,1,3.0,,649519.053,65,,,,195.0,,,
102,0,,,649519.053,65,,,,,,,
103,0,,,649519.053,65,,,,,,,
104,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,6,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,5,0.2,1.095,649519.053,65,0.49,-0.76,1.16,13.0,31.843,-49.413,75.413
108,5,0.2,0.447,649519.053,65,0.2,-0.192,0.592,13.0,13.0,-12.48,38.48
109,6,0.167,0.408,649519.053,65,0.167,-0.16,0.493,10.833,10.833,-10.4,32.067
110,4,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,5,0.0,0.707,649519.053,65,0.316,-0.62,0.62,0.0,20.555,-40.287,40.287
112,1,0.0,,649519.053,65,,,,0.0,,,
113,4,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,3,1.0,1.732,649519.053,65,1.0,-0.96,2.96,65.0,65.0,-62.4,192.4
115,4,-1.0,1.826,649519.053,65,0.913,-2.789,0.789,-65.0,59.337,-181.3,51.3
116,3,1.333,3.215,649519.053,65,1.856,-2.304,4.971,86.667,120.635,-149.778,323.111
117,3,-0.667,1.155,649519.053,65,0.667,-1.973,0.64,-43.333,43.333,-128.267,41.6
118,2,2.5,3.536,649519.053,65,2.5,-2.4,7.4,162.5,162.5,-156.0,481.0
119,0,,,649519.053,65,,,,,,,
120,1,-8.0,,649519.053,65,,,,-520.0,,,
121,1,-64.0,,649519.053,65,,,,-4160.0,,,
122,2,-17.0,2.828,649519.053,65,2.0,-20.92,-13.08,-1105.0,130.0,-1359.8,-850.2
123,0,,,649519.053,65,,,,,,,
124,0,,,649519.053,65,,,,,,,
125,6,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,3,0.333,0.577,649519.053,65,0.333,-0.32,0.987,21.667,21.667,-20.8,64.133
127,5,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,1,0.0,,649519.053,65,,,,0.0,,,
129,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,2,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,3,0.333,0.577,649519.053,65,0.333,-0.32,0.987,21.667,21.667,-20.8,64.133
132,3,0.333,0.577,649519.053,65,0.333,-0.32,0.987,21.667,21.667,-20.8,64.133
133,0,,,649519.053,65,,,,,,,
134,3,0.0,0.0,649519.053,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,5,0.2,0.447,649519.053,65,0.2,-0.192,0.592,13.0,13.0,-12.48,38.48
136,2,8.0,1.414,649519.053,65,1.0,6.04,9.96,520.0,65.0,392.6,647.4
137,3,0.333,0.577,649519.053,65,0.333,-0.32,0.987,21.667,21.667,-20.8,64.133
138,2,1.5,2.121,649519.053,65,1.5,-1.44,4.44,97.5,97.5,-93.6,288.6
139,5,-0.4,1.517,649519.053,65,0.678,-1.729,0.929,-26.0,44.085,-112.407,60.407
140,1,-5.0,,649519.053,65,,,,-325.0,,,
141,0,,,649519.053,65,,,,,,,
142,1,-1.0,,649519.053,65,,,,-65.0,,,
143,1,-10.0,,649519.053,65,,,,-650.0,,,
144,0,,,649519.053,65,,,,,,,
145,0,,,649519.053,65,,,,,,,
146,0,,,649519.053,65,,,,,,,
147,0,,,649519.053,65,,,,,,,
148,0,,,649519.053,65,,,,,,,
149,4,-1.0,2.708,649519.053,65,1.354,-3.654,1.654,-65.0,88.01,-237.5,107.5
150,1,1.0,,649519.053,65,,,,65.0,,,
151,0,,,649519.053,65,,,,,,,
152,1,1.0,,649519.053,65,,,,65.0,,,
153,1,0.0,,649519.053,65,,,,0.0,,,
154,4,0.75,0.5,649519.053,65,0.25,0.26,1.24,48.75,16.25,16.9,80.6
