region_type,mean_tile_error,ci_lower,ci_upper,num_tiles
Agriculture,-1.328421052631579,-2.014519183228768,-0.6423229220343897,475
Non-Agriculture,-1.7917205692108666,-2.4624173953082695,-1.1210237431134638,773
