region_type,mean_tile_error,ci_lower,ci_upper,num_tiles
Destruction,0.37037037037037035,0.09066597856089276,0.6500747621798479,27
Non-Destruction,-1.6592956592956594,-2.1604964805087623,-1.1580948380825564,1221
